,abr15,ene15,oct14,jul14,abr14,ene14,oct13,jul13,abr13,ene13,oct12,jul12,abr12,ene12,oct11,jul11,abr11,ene11,oct10,jul10,abr10,ene10,oct09,jul09,abr09,ene09,oct08,jul08,abr08,ene08,oct07,jul07,abr07,ene07,oct06,jul06,abr06,ene06,oct05,jul05,abr05,ene05,oct04,jul04,abr04,ene04,oct03,jul03,abr03,ene03,oct02,jul02,abr02,ene02,oct01,jul01,abr01,ene01,oct00,jul00,abr00,ene00,oct99,jul99,abr99,ene99,oct98,jul98,abr98,ene98,oct97,jul97,abr97,ene97,oct96,jul96,abr96,ene96,orden
PP,25.6,27.3,27.5,30.0,31.9,32.1,34.0,32.5,34.0,35.0,35.9,36.6,40.6,42.7,46.6,43.1,43.8,44.1,42.2,41.2,39.5,40.0,41.0,40.2,40.0,39.5,39.7,39.3,37.6,38.7,37.4,37.0,36.6,37.6,37.9,36.9,38.2,38.0,37.7,36.4,36.6,35.7,36.1,36.8,35.4,42.2,42.4,41.2,37.3,39.8,41.5,41.0,42.4,43.9,43.5,43.6,43.5,43.5,43.7,46.6,45.3,41.6,40.6,40.7,41.0,41.1,40.9,38.4,37.1,40.5,39.6,40.3,39.2,38.7,36.3,38.8,38.6,40.6,1.0
PSOE,24.3,22.2,23.9,21.2,26.2,26.6,26.8,27.2,28.2,30.2,28.6,29.9,29.6,28.0,29.9,36.0,33.4,34.0,34.3,34.9,38.0,36.2,37.7,39.0,40.8,39.7,39.7,39.5,43.6,40.2,39.7,40.5,39.6,38.8,39.3,40.6,40.3,39.6,39.7,41.9,41.2,42.4,42.1,44.0,45.8,35.5,34.7,35.2,39.5,37.3,37.3,36.8,34.4,34.2,34.0,34.9,35.2,36.2,36.2,31.6,32.7,36.6,35.8,35.8,35.9,35.4,36.6,37.9,38.9,36.4,36.4,38.2,37.4,38.2,39.9,37.3,37.3,33.7,1.0
Podemos,16.5,23.9,22.5,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ciudadanos,13.8,3.1,2.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IU,4.8,5.2,4.8,8.2,10.9,11.3,11.3,11.5,9.9,9.4,9.4,8.6,8.6,7.9,6.2,5.1,5.2,5.7,6.2,5.4,5.8,6.1,4.7,4.6,4.5,4.5,4.3,4.8,3.9,5.8,5.5,6.1,5.6,6.5,5.1,5.0,5.4,4.9,4.8,5.1,5.2,5.4,5.5,5.0,4.9,6.6,5.9,6.3,6.3,5.5,4.6,5.0,5.4,5.8,5.5,5.6,4.9,5.1,5.5,5.9,5.9,7.4,6.8,6.6,8.9,9.2,9.1,9.3,9.0,9.3,9.0,9.4,10.5,10.0,10.5,11.2,11.3,11.0,1.0
CiU,3.2,3.0,3.8,2.9,3.0,3.4,2.9,3.1,3.4,3.6,3.9,4.0,3.8,3.4,3.3,3.1,3.5,3.9,3.5,4.1,3.6,3.7,3.7,3.4,3.4,3.4,3.8,3.3,3.2,3.0,3.1,2.9,3.0,3.2,3.1,3.2,2.9,3.6,3.4,3.2,3.1,2.9,3.3,2.8,2.7,3.7,4.0,3.8,3.3,3.7,3.7,4.2,4.4,4.0,4.5,3.7,4.0,3.9,3.8,4.3,4.0,4.1,4.5,4.6,4.6,4.5,4.2,4.5,4.9,4.5,4.6,4.3,4.6,4.5,5.1,4.6,4.9,4.4,1.0
ERC,2.0,1.6,2.3,3.3,2.5,2.5,2.5,2.3,2.0,2.0,1.3,1.3,1.7,1.4,1.2,1.1,1.3,0.8,0.8,1.4,1.0,1.3,1.5,1.6,1.5,1.3,1.3,1.5,1.6,2.1,2.1,1.9,2.4,2.0,2.8,2.1,2.0,2.4,2.4,2.3,2.1,2.3,2.0,2.6,2.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UPyD,1.9,4.6,4.1,5.9,8.9,9.2,7.7,8.8,7.4,6.8,7.3,6.6,5.1,5.7,2.9,3.0,3.5,2.9,4.1,3.8,3.3,4.4,3.7,3.2,2.9,3.1,2.9,2.5,2.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Otros,1.2,1.3,2.3,4.0,6.6,5.6,5.9,5.4,6.6,4.7,4.8,4.4,3.8,6.2,5.3,4.6,4.3,3.5,3.2,4.0,3.7,3.5,3.2,3.1,3.8,4.3,4.1,4.0,2.3,3.3,8.3,7.7,7.6,7.6,6.8,8.0,7.5,7.5,7.7,6.8,8.0,7.6,7.6,6.0,6.5,5.3,7.7,8.5,7.8,7.4,7.8,8.0,7.5,7.5,7.3,7.2,7.5,7.2,6.7,7.4,7.8,5.5,9.5,9.5,7.2,7.4,6.8,7.5,7.6,6.9,8.1,6.4,7.1,7.2,6.9,6.8,6.5,9.0,1.0
Amaiur,0.9,1.0,0.9,1.0,1.3,1.2,1.2,1.4,0.9,0.9,1.6,1.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
