,abr15,ene15,oct14,jul14,abr14,ene14,oct13,jul13,abr13,ene13,oct12,jul12,abr12,ene12,oct11,jul11,abr11,ene11,oct10,jul10,abr10,ene10,oct09,jul09,abr09,ene09,oct08,jul08,abr08,ene08,oct07,jul07,abr07,ene07,oct06,jul06,abr06,ene06,oct05,jul05,abr05,ene05,oct04,jul04,abr04,ene04,oct03,jul03,abr03,ene03,oct02,jul02,abr02,ene02,oct01,jul01,abr01,ene01,oct00,jul00,abr00,ene00,oct99,jul99,abr99,ene99,oct98,jul98,abr98,ene98,oct97,jul97,abr97,ene97,oct96,jul96,abr96,ene96,orden
PSOE,15.4,12.4,14.3,10.6,13.4,11.8,13.0,12.5,13.7,17.0,17.6,17.1,20.8,18.2,17.9,25.9,20.5,21.5,18.7,20.8,24.5,24.6,23.2,28.4,30.4,29.3,30.8,29.3,36.9,30.9,32.5,32.8,30.7,29.1,31.2,31.5,34.4,29.5,30.0,33.1,34.9,36.5,35.5,39.2,44.4,21.3,24.4,26.1,27.4,24.4,25.2,24.0,20.9,20.7,22.4,24.1,21.7,23.3,22.1,17.1,15.9,18.5,21.4,21.5,21.0,20.3,22.9,23.8,25.6,22.6,23.6,27.5,24.0,22.6,27.3,23.6,24.9,24.2,1.0
Podemos,13.6,19.3,17.6,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP,13.5,12.9,11.7,12.8,13.6,10.8,11.4,13.2,12.5,15.8,16.1,18.2,24.0,30.5,30.5,29.3,27.1,28.3,24.8,24.8,22.8,25.3,25.7,23.9,22.1,23.0,23.8,22.8,20.9,21.5,22.4,23.0,19.9,19.3,20.3,21.0,22.9,22.2,22.3,20.5,21.8,21.2,20.7,19.5,20.4,27.8,27.5,25.2,21.8,23.2,24.5,25.4,26.8,29.2,26.8,27.8,27.6,27.2,30.2,32.5,34.1,30.6,25.8,26.7,25.5,26.7,26.1,23.9,22.0,24.5,25.2,24.7,23.2,22.5,21.5,25.4,24.6,25.8,1.0
Ciudadanos,10.0,2.1,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IU-ICV,3.1,3.6,3.7,6.2,7.2,7.1,8.5,7.8,7.1,6.4,7.0,6.2,7.0,5.9,4.5,3.7,4.1,4.4,3.8,4.0,3.5,4.2,3.5,3.4,3.0,3.5,3.6,4.3,3.7,2.8,4.0,4.9,3.7,4.6,3.7,3.5,3.7,3.3,3.2,3.4,4.3,3.6,4.0,3.3,4.2,3.3,3.7,4.9,4.3,3.4,2.9,2.9,3.6,3.8,3.5,3.5,3.3,3.3,3.6,3.6,4.4,3.8,3.5,3.7,4.5,4.8,4.6,5.1,5.6,5.3,5.2,4.8,6.7,6.8,7.1,8.3,9.0,8.5,1.0
ERC,1.5,1.3,1.9,2.5,1.9,1.7,2.0,1.6,1.6,1.9,1.1,0.8,1.0,0.7,0.6,0.7,0.7,0.5,0.4,1.1,0.6,1.1,1.1,1.0,0.8,1.1,0.9,1.2,1.0,0.7,1.4,1.1,1.4,1.1,1.4,1.7,1.2,1.2,1.5,1.7,1.0,1.1,1.6,1.6,1.9,1.1,0.8,1.2,0.8,0.9,1.2,0.6,0.7,0.8,1.1,0.8,1.1,0.5,1.1,0.8,1.3,0.4,0.8,0.8,0.6,0.4,0.5,0.7,0.8,0.4,0.8,0.6,0.3,0.6,0.2,0.2,0.7,0.9,1.0
CiU,1.4,1.7,2.0,1.5,1.4,1.4,1.1,1.1,1.2,1.7,2.3,2.1,1.9,2.2,1.9,1.9,2.1,3.3,1.7,2.6,2.0,1.8,2.9,2.2,2.1,2.0,2.5,2.3,2.0,1.2,2.1,1.4,1.6,1.7,1.9,2.3,1.5,1.5,2.0,1.6,2.1,1.7,1.9,1.4,1.6,1.4,2.2,2.4,2.0,2.4,2.2,2.0,2.5,2.2,3.2,2.7,2.9,2.5,2.7,2.8,3.2,1.9,2.7,2.5,2.8,2.7,2.0,2.5,3.5,2.5,2.8,2.6,3.3,3.5,3.5,3.8,4.6,2.9,1.0
Otros,0.9,1.0,1.8,2.3,4.3,3.6,3.5,3.2,4.1,2.8,2.9,2.4,2.2,3.8,3.4,2.9,2.5,2.0,2.4,2.0,2.2,1.7,1.3,1.5,1.7,1.7,2.1,1.6,1.5,1.2,2.1,1.2,1.8,1.5,1.2,1.6,1.6,1.1,1.0,0.9,1.4,1.1,1.2,1.5,1.3,0.9,1.0,1.5,1.2,1.5,1.2,0.9,0.7,1.3,1.1,1.0,1.2,0.9,1.0,1.1,1.3,1.3,1.4,1.2,1.1,1.2,1.3,1.5,1.3,1.0,1.8,1.1,1.3,1.3,1.1,0.9,0.8,1.5,1.0
UPyD,0.8,2.2,2.1,3.5,4.9,4.6,4.8,4.9,4.1,3.8,4.4,3.5,2.8,3.8,2.3,2.5,2.5,2.6,3.2,3.0,2.9,4.2,3.6,2.9,2.4,2.5,2.1,1.7,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PNV,0.6,0.6,0.4,0.6,0.6,0.6,0.5,0.8,0.8,0.8,0.8,0.6,1.0,0.9,0.7,1.1,0.8,0.6,1.1,0.8,0.8,1.0,1.1,1.0,0.8,0.8,0.7,1.0,0.9,0.9,1.1,1.0,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.2,1.2,1.0,0.8,1.0,0.8,1.1,0.6,0.8,1.3,1.4,0.8,0.8,0.8,0.8,1.2,1.1,0.9,1.0,1.2,0.9,0.8,1.3,0.9,0.8,0.7,1.0,0.8,0.5,1.2,0.6,1.0,1.0,0.6,0.7,0.7,0.8,1.2,1.0,1.0
Amaiur,0.4,0.6,0.4,0.6,0.8,0.5,0.6,0.5,0.3,0.4,0.8,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Compromis-Equo,0.4,0.3,0.3,0.8,0.9,0.6,0.4,0.8,0.6,0.8,0.5,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BNG,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.4,0.2,0.3,0.6,0.3,0.4,0.3,0.3,0.5,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.4,0.5,0.6,0.6,0.4,0.9,0.7,0.4,0.7,0.5,0.7,0.5,0.5,0.7,0.6,0.7,0.4,0.7,0.5,0.6,0.6,0.8,0.8,0.5,0.7,0.6,0.8,0.8,0.6,1.0,0.8,0.3,0.4,0.7,0.5,0.8,1.2,0.8,1.2,0.6,0.4,0.7,0.8,0.4,1.0
CC,0.2,0.2,0.1,0.0,0.2,0.4,0.4,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.1,0.2,0.3,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.3,0.1,0.5,0.3,0.5,0.2,0.2,0.4,0.5,0.3,0.4,0.3,0.4,0.6,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.2,0.5,0.4,0.4,0.2,0.6,0.4,0.4,0.7,0.4,0.5,0.4,0.6,0.7,0.4,0.4,0.3,0.4,0.4,0.3,0.6,0.6,0.7,1.0
Geroa-Bai,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UPN,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FAC,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0
CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.1,0.2,0.1,0.2,0.0,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.2,0.1,0.3,0.3,0.3,0.1,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.2,0.3,0.2,0.1,0.3,0.1,0.0,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.4,0.4,0.3,0.2,0.2,1.0
HB(EH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.7,0.5,0.4,0.3,0.1,0.3,0.4,0.3,0.2,0.3,0.2,0.4,0.4,0.4,1.0
IC-V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.9,0.6,0.5,0.8,0.5,0.5,0.4,0.4,0.7,0.5,0.3,0.6,0.5,0.3,0.4,0.8,0.6,0.5,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Na-Bai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.1,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.4,0.1,0.2,0.2,0.1,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.4,0.3,0.2,0.2,0.4,0.3,0.3,0.2,0.2,0.4,0.1,0.6,0.5,0.5,0.5,0.7,0.4,0.2,0.3,0.3,0.6,0.8,0.2,0.4,0.4,0.7,0.7,0.3,0.6,0.5,1.0
PAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.4,0.3,0.4,0.4,0.2,1.0
(N),2479.0,2481.0,2480.0,2471.0,2469.0,2480.0,2485.0,2476.0,2482.0,2483.0,2484.0,2484.0,2484.0,2480.0,17236.0,2475.0,2463.0,2478.0,2475.0,2472.0,2479.0,2477.0,2478.0,2482.0,2481.0,2482.0,2481.0,2468.0,2459.0,18221.0,2493.0,2483.0,2455.0,2472.0,2481.0,2482.0,2481.0,2484.0,2489.0,2425.0,2477.0,2495.0,2494.0,2487.0,2493.0,24109.0,2488.0,2476.0,2494.0,2480.0,2489.0,2482.0,2498.0,2498.0,2499.0,2485.0,2492.0,2486.0,2497.0,2493.0,2491.0,24040.0,2496.0,2487.0,2499.0,2493.0,2489.0,2486.0,2497.0,2494.0,2496.0,2495.0,2496.0,2485.0,2495.0,2495.0,2490.0,2494.0,0.0
N.S.,19.8,20.8,19.5,18.7,20.8,21.1,21.5,20.2,19.0,17.2,16.6,16.2,12.8,11.9,15.4,13.2,17.4,15.3,18.0,16.1,15.2,14.9,15.2,12.5,14.5,15.8,14.8,13.7,11.4,17.3,13.6,12.5,16.8,18.4,16.5,16.0,15.2,18.4,17.5,14.0,13.4,14.0,15.2,12.5,3.8,24.3,17.4,14.7,18.9,19.0,18.4,18.9,20.0,18.6,17.7,16.8,18.7,17.3,16.4,15.7,13.2,17.3,18.1,16.1,20.9,20.4,18.9,18.5,18.6,18.6,15.7,16.8,17.7,16.7,15.7,14.9,13.5,15.7,0.0
